content_id,title,topic,level,summary,tags,source_url,estimated_minutes,format,freshness_days,frontier_theme
V001,AI Agents: Digital Helpers That Plan,AI Agents,Beginner,"An introduction to agentic AI systems that can plan, call tools, and check their own work.",agents;planning;tools;automation,https://www.youtube.com/results?search_query=AI+agents+explained+for+students,12,Video,7,Agentic workflows
V002,Transformers and Attention with a Classroom Analogy,Deep Learning,Beginner,"Explains how attention lets a model focus on the most important words or image regions.",transformers;attention;language+models,https://www.youtube.com/results?search_query=transformers+attention+explained+high+school,15,Video,14,Foundation models
V003,Reinforcement Learning: How AI Learns from Feedback,Reinforcement Learning,Beginner,"Shows how rewards, actions, and policies help AI improve through trial and feedback.",reinforcement+learning;feedback;reward,https://www.youtube.com/results?search_query=reinforcement+learning+explained+for+beginners,14,Video,21,Self-improving systems
V004,AI Safety and Alignment Basics,AI Safety,Beginner,"Introduces why AI systems need guardrails, evaluation, transparency, and human oversight.",safety;alignment;ethics;evaluation,https://www.youtube.com/results?search_query=AI+safety+alignment+basics+students,13,Video,10,Responsible AI
V005,Multimodal AI: Models That See Hear and Read,Multimodal AI,Beginner,"Explains models that combine text, images, audio, and video to understand the world.",multimodal;vision;audio;text,https://www.youtube.com/results?search_query=multimodal+AI+explained+for+students,11,Video,6,Multimodal foundation models
V006,TinyML and Edge AI on Small Devices,Deployment,Intermediate,"Describes how AI can run on phones, sensors, and low-power devices.",tinyml;edge+ai;deployment;devices,https://www.youtube.com/results?search_query=TinyML+edge+AI+explained,16,Video,30,Efficient AI
V007,RAG: Teaching an AI to Use a Library,Retrieval-Augmented Generation,Beginner,"Explains retrieval-augmented generation using a library and note-card analogy.",RAG;retrieval;knowledge;base;LLM,https://www.youtube.com/results?search_query=RAG+retrieval+augmented+generation+explained,12,Video,9,Knowledge-grounded AI
V008,Diffusion Models: How AI Draws Images Step by Step,Generative AI,Beginner,"Introduces image generation by gradually removing noise until a picture appears.",diffusion;image+generation;generative+AI,https://www.youtube.com/results?search_query=diffusion+models+explained+for+beginners,10,Video,18,Generative media
V009,Prompt Engineering and AI Evaluation,Prompting,Beginner,"Shows how prompts guide AI systems and why outputs should be tested carefully.",prompting;evaluation;benchmarks;LLM,https://www.youtube.com/results?search_query=prompt+engineering+AI+evaluation+students,9,Tutorial,12,Human-AI interaction
V010,Robotics Plus AI: From Simulation to the Real World,Robotics,Intermediate,"Connects robotics, simulation, sensors, and AI decision making.",robotics;simulation;control;sensors,https://www.youtube.com/results?search_query=robotics+AI+simulation+explained+students,17,Video,25,Embodied AI
V011,AI in Medicine: Useful but Careful,AI in Medicine,Beginner,"Explains medical AI with a focus on decision support, data bias, privacy, and validation.",medicine;healthcare;privacy;bias,https://www.youtube.com/results?search_query=AI+in+medicine+explained+for+students,13,Video,28,AI for science
V012,Open-Source AI Models and Fine-Tuning,Open Source AI,Intermediate,"Introduces open-source models, fine-tuning, and why reproducibility matters.",open+source;fine+tuning;models;reproducibility,https://www.youtube.com/results?search_query=open+source+AI+fine+tuning+explained,18,Tutorial,8,Accessible AI
