member_id,content_id,watched,liked,rating,feedback_text
U001,V001,1,1,5,"Agents feel useful for everyday school work."
U001,V008,1,1,4,"Image generation was fun and easy to understand."
U001,V006,1,0,2,"Too hardware focused for me."
U001,V004,1,1,4,"Safety examples were helpful."
U002,V004,1,1,5,"I liked the ethics and alignment part."
U002,V011,1,1,5,"Medical examples made AI feel meaningful."
U002,V010,1,0,2,"Robotics was less interesting."
U002,V009,1,1,4,"Evaluation tips are useful for school projects."
U003,V002,1,1,5,"Attention and neural nets are interesting."
U003,V010,1,1,5,"I want to build robots."
U003,V001,1,0,3,"Agents are okay but I want deeper math."
U003,V006,1,1,4,"Edge AI sounds practical."
U004,V007,1,1,5,"RAG connects AI to real evidence."
U004,V012,1,1,5,"Open-source fine-tuning is exciting."
U004,V008,1,0,3,"Less interested in images."
U004,V002,1,1,4,"Good theory overview."
U005,V003,1,1,5,"Rewards and games make sense."
U005,V010,1,1,4,"Robotics is cool."
U005,V011,1,0,2,"Medicine is not my main interest."
U005,V001,1,1,4,"Agents are like game characters that plan."
U006,V005,1,1,5,"Models that see and hear are amazing."
U006,V008,1,1,4,"Diffusion models were creative."
U006,V004,1,1,4,"Safety matters."
U006,V006,1,0,2,"Edge devices felt too technical."
